year,institution,enrolment,intake,intake_rate
2006,nie,2938.0,1884.0,64.12525527569775
2006,ntu,19114.0,5746.0,30.06173485403369
2006,nus,22836.0,6631.0,29.037484673322822
2006,republic_polytechnic,5479.0,2620.0,47.81894506296769
2006,singapore_polytechnic,13656.0,4746.0,34.753954305799645
2006,sit,,,
2006,smu,4259.0,1356.0,31.838459732331533
2006,suss,,,
2006,sutd,,,
2006,temasek_polytechnic,14568.0,5009.0,34.383580450302034
2007,ite,24370.0,13967.0,57.31226918342224
2007,lasalle_degree,,,
2007,lasalle_diploma,1948.0,790.0,40.554414784394254
2007,nafa_degree,,,
2007,nafa_diploma,2114.0,713.0,33.7275307473983
2007,nanyang_polytechnic,14874.0,4965.0,33.38039532069383
2007,ngee_ann_polytechnic,14687.0,4817.0,32.797712262545105
2007,nie,2725.0,1852.0,67.96330275229357
2007,ntu,20206.0,6196.0,30.664159160645355
2007,nus,23578.0,6554.0,27.797098990584445
2007,republic_polytechnic,8087.0,3741.0,46.25942871274886
2007,singapore_polytechnic,14399.0,5006.0,34.766303215501075
2007,sit,,,
2007,smu,5178.0,1603.0,30.957898802626495
2007,suss,,,
2007,sutd,,,
2007,temasek_polytechnic,15243.0,4833.0,31.706357016335367
2008,ite,24593.0,14205.0,57.76033830764852
2008,lasalle_degree,,,
2008,lasalle_diploma,1887.0,728.0,38.57975622681505
2008,nafa_degree,,,
2008,nafa_diploma,2190.0,852.0,38.9041095890411
2008,nanyang_polytechnic,15225.0,5279.0,34.67323481116585
2008,ngee_ann_polytechnic,15123.0,5278.0,34.90048270845732
2008,nie,2581.0,1702.0,65.94343277799302
2008,ntu,21097.0,6033.0,28.596482912262406
2008,nus,24086.0,6432.0,26.704309557419247
2008,republic_polytechnic,10188.0,4065.0,39.899882214369846
2008,singapore_polytechnic,14986.0,5193.0,34.65234218604031
2008,sit,,,
2008,smu,5721.0,1670.0,29.190700926411466
2008,suss,,,
2008,sutd,,,
2008,temasek_polytechnic,15615.0,5023.0,32.16778738392571
2009,ite,24846.0,13705.0,55.15978427111004
2009,lasalle_degree,,,
2009,lasalle_diploma,1771.0,727.0,41.050254093732356
2009,nafa_degree,,,
2009,nafa_diploma,2144.0,797.0,37.173507462686565
2009,nanyang_polytechnic,15656.0,5338.0,34.09555442003066
2009,ngee_ann_polytechnic,15417.0,5300.0,34.37763507816047
2009,nie,2804.0,2003.0,71.4336661911555
2009,ntu,22450.0,6719.0,29.928730512249444
2009,nus,24798.0,6775.0,27.320751673522057
2009,republic_polytechnic,12179.0,4617.0,37.909516380655226
2009,singapore_polytechnic,15523.0,5289.0,34.07202216066482
2009,sit,,,
2009,smu,6331.0,1770.0,27.957668614752805
2009,suss,,,
2009,sutd,,,
2009,temasek_polytechnic,15791.0,5080.0,32.17022354505731
2010,ite,24789.0,13886.0,56.01678163701642
2010,lasalle_degree,,,
2010,lasalle_diploma,1754.0,795.0,45.32497149372862
2010,nafa_degree,,,
2010,nafa_diploma,2269.0,835.0,36.80035257822829
2010,nanyang_polytechnic,16183.0,5482.0,33.87505406908484
2010,ngee_ann_polytechnic,15942.0,5387.0,33.79124325680592
2010,nie,2816.0,1939.0,68.8565340909091
2010,ntu,22862.0,6132.0,26.821800367421922
2010,nus,25189.0,6568.0,26.074873952915954
2010,republic_polytechnic,13003.0,4342.0,33.39229408598016
2010,singapore_polytechnic,15928.0,5429.0,34.08463083877449
2010,sit,523.0,523.0,100.0
2010,smu,6721.0,1686.0,25.085552745127213
2010,suss,,,
2010,sutd,,,
2010,temasek_polytechnic,15933.0,5067.0,31.801920542270757
2011,ite,25279.0,14098.0,55.76961113968116
2011,lasalle_degree,,,
2011,lasalle_diploma,1623.0,580.0,35.73629081947012
2011,nafa_degree,20.0,20.0,100.0
2011,nafa_diploma,2217.0,716.0,32.29589535408209
2011,nanyang_polytechnic,16408.0,5538.0,33.751828376401754
2011,ngee_ann_polytechnic,16139.0,5466.0,33.868269409504926
2011,nie,2579.0,1827.0,70.84141139976735
2011,ntu,23040.0,6177.0,26.809895833333332
2011,nus,25513.0,6724.0,26.355191471014777
2011,republic_polytechnic,13927.0,5008.0,35.95892869964817
2011,singapore_polytechnic,15949.0,5348.0,33.531882876669385
2011,sit,1416.0,936.0,66.10169491525424
2011,smu,6853.0,1729.0,25.22982635342186
2011,suss,,,
2011,sutd,,,
2011,temasek_polytechnic,16020.0,5377.0,33.56429463171036
2012,ite,25370.0,13906.0,54.81277098935751
2012,lasalle_degree,1081.0,398.0,36.817761332099906
2012,lasalle_diploma,1353.0,495.0,36.58536585365854
2012,nafa_degree,43.0,25.0,58.13953488372093
2012,nafa_diploma,2225.0,757.0,34.02247191011236
2012,nanyang_polytechnic,16076.0,5116.0,31.823836775317243
2012,ngee_ann_polytechnic,16430.0,5561.0,33.846622032866705
2012,nie,2445.0,1782.0,72.88343558282209
2012,ntu,22862.0,5905.0,25.82888636164815
2012,nus,25979.0,6733.0,25.91708687786289
2012,republic_polytechnic,14520.0,5300.0,36.50137741046832
2012,singapore_polytechnic,15972.0,5407.0,33.85299273729026
2012,sit,2587.0,1304.0,50.405875531503675
2012,smu,7108.0,1930.0,27.152504220596512
2012,suss,,,
2012,sutd,327.0,327.0,100.0
2012,temasek_polytechnic,16005.0,5370.0,33.55201499531397
2013,ite,26288.0,14432.0,54.899573950091295
2013,lasalle_degree,1290.0,422.0,32.713178294573645
2013,lasalle_diploma,1253.0,456.0,36.392657621707905
2013,nafa_degree,51.0,26.0,50.98039215686274
2013,nafa_diploma,2037.0,646.0,31.713303878252333
2013,nanyang_polytechnic,16266.0,5604.0,34.452231648838065
2013,ngee_ann_polytechnic,16581.0,5487.0,33.09209335986973
2013,nie,1838.0,1424.0,77.47551686615887
2013,ntu,22777.0,6660.0,29.240022830047856
2013,nus,26156.0,6892.0,26.349594739256766
2013,republic_polytechnic,14995.0,5054.0,33.70456818939647
2013,singapore_polytechnic,15878.0,5364.0,33.782592266028466
2013,sit,3051.0,1510.0,49.49196984595215
2013,smu,7297.0,1924.0,26.36700013704262
2013,suss,,,
2013,sutd,583.0,265.0,45.45454545454545
2013,temasek_polytechnic,16250.0,5370.0,33.04615384615385
2014,ite,28036.0,14641.0,52.22214295905265
2014,lasalle_degree,1176.0,447.0,38.01020408163265
2014,lasalle_diploma,1190.0,427.0,35.88235294117647
2014,nafa_degree,53.0,27.0,50.943396226415096
2014,nafa_diploma,2022.0,721.0,35.65776458951533
2014,nanyang_polytechnic,16092.0,5349.0,33.24011931394482
2014,ngee_ann_polytechnic,16227.0,5145.0,31.70641523386948
2014,nie,1913.0,1623.0,84.84056455828542
2014,ntu,23021.0,6480.0,28.148212501628947
2014,nus,26797.0,7108.0,26.525357316117475
2014,republic_polytechnic,14952.0,4701.0,31.440609951845907
2014,singapore_polytechnic,15905.0,5312.0,33.39830242062244
2014,sit,3557.0,1836.0,51.61653078436885
2014,smu,7515.0,1912.0,25.442448436460413
2014,suss,217.0,217.0,100.0
2014,sutd,886.0,317.0,35.77878103837472
2014,temasek_polytechnic,16138.0,5270.0,32.65584335109679
2015,ite,29295.0,14173.0,48.38026967059225
2015,lasalle_degree,1262.0,502.0,39.77812995245642
2015,lasalle_diploma,1173.0,424.0,36.146632566069904
2015,nafa_degree,59.0,33.0,55.932203389830505
2015,nafa_diploma,2106.0,819.0,38.888888888888886
2015,nanyang_polytechnic,15842.0,4959.0,31.302865799772757
2015,ngee_ann_polytechnic,15611.0,4872.0,31.20876305169432
2015,nie,1549.0,1231.0,79.47062621045836
2015,ntu,23512.0,6525.0,27.75178632187819
2015,nus,27288.0,6935.0,25.414101436528878
2015,republic_polytechnic,14690.0,4806.0,32.716133424098025
2015,singapore_polytechnic,15297.0,4814.0,31.470222919526705
2015,sit,4039.0,2076.0,51.398861104233724
2015,smu,7740.0,1944.0,25.11627906976744
2015,suss,489.0,284.0,58.077709611451944
2015,sutd,1235.0,362.0,29.31174089068826
2015,temasek_polytechnic,15425.0,4800.0,31.118314424635333
2016,ite,27519.0,14763.0,53.64657145971874
2016,lasalle_degree,1311.0,510.0,38.901601830663616
2016,lasalle_diploma,1150.0,388.0,33.73913043478261
2016,nafa_degree,50.0,16.0,32.0
2016,nafa_diploma,2390.0,942.0,39.41422594142259
2016,nanyang_polytechnic,15035.0,4766.0,31.699368141004324
2016,ngee_ann_polytechnic,14866.0,4728.0,31.804116776537064
2016,nie,1443.0,1256.0,87.04088704088704
2016,ntu,23495.0,6138.0,26.124707384549904
2016,nus,27702.0,7011.0,25.308641975308642
2016,republic_polytechnic,13915.0,4249.0,30.535393460294646
2016,singapore_polytechnic,14671.0,4737.0,32.288187580941994
2016,sit,5230.0,2559.0,48.92925430210325
2016,smu,7827.0,1961.0,25.05429922064648
2016,suss,896.0,423.0,47.20982142857143
2016,sutd,1381.0,460.0,33.3091962346126
2016,temasek_polytechnic,14662.0,4641.0,31.653253307870685
2017,ite,28508.0,15506.0,54.39174968429914
2017,lasalle_degree,1330.0,531.0,39.92481203007519
2017,lasalle_diploma,1241.0,518.0,41.740531829170024
2017,nafa_degree,39.0,23.0,58.97435897435897
2017,nafa_diploma,2537.0,921.0,36.30271974773354
2017,nanyang_polytechnic,14734.0,4920.0,33.392154201167365
2017,ngee_ann_polytechnic,14599.0,4886.0,33.468045756558666
2017,nie,1122.0,569.0,50.71301247771836
2017,ntu,22934.0,5955.0,25.965814947239906
2017,nus,28134.0,7121.0,25.311011587403144
2017,republic_polytechnic,13566.0,4400.0,32.43402624207578
2017,singapore_polytechnic,14298.0,4958.0,34.676178486501605
2017,sit,6138.0,2589.0,42.17986314760508
2017,smu,7979.0,2004.0,25.115929314450433
2017,suss,1451.0,575.0,39.62784286698828
2017,sutd,1545.0,424.0,27.44336569579288
2017,temasek_polytechnic,14239.0,4900.0,34.41252896973102
2018,ite,28367.0,14819.0,52.240279197659255
2018,lasalle_degree,1339.0,487.0,36.37042569081404
2018,lasalle_diploma,1294.0,475.0,36.70788253477589
2018,nafa_degree,43.0,23.0,53.48837209302326
2018,nafa_diploma,2484.0,865.0,34.82286634460547
2018,nanyang_polytechnic,14715.0,4920.0,33.435270132517836
2018,ngee_ann_polytechnic,14543.0,4874.0,33.514405555937564
2018,nie,1309.0,556.0,42.47517188693659
2018,ntu,22813.0,6160.0,27.00214789812826
2018,nus,29037.0,7856.0,27.05513654991907
2018,republic_polytechnic,13142.0,4393.0,33.42718003348045
2018,singapore_polytechnic,14337.0,4821.0,33.62628164888052
2018,sit,6951.0,2660.0,38.26787512588117
2018,smu,8182.0,2161.0,26.4116352969934
2018,suss,2049.0,767.0,37.43289409468033
2018,sutd,1658.0,437.0,26.35705669481303
2018,temasek_polytechnic,14248.0,4861.0,34.11706906232454
2019,ite,27968.0,15147.0,54.158323798627
2019,lasalle_degree,1235.0,448.0,36.2753036437247
2019,lasalle_diploma,1277.0,445.0,34.84729835552075
2019,nafa_degree,50.0,28.0,56.0
2019,nafa_diploma,2377.0,815.0,34.28691628102651
2019,nanyang_polytechnic,14522.0,4556.0,31.37308910618372
2019,ngee_ann_polytechnic,14233.0,4492.0,31.560458090353404
2019,nie,1323.0,515.0,38.92668178382464
2019,ntu,23063.0,6482.0,28.105623726314878
2019,nus,30033.0,7847.0,26.127925948123732
2019,republic_polytechnic,12627.0,3871.0,30.656529658667935
2019,singapore_polytechnic,14209.0,4616.0,32.48645224857485
2019,sit,7714.0,2718.0,35.23463831993777
2019,smu,8656.0,2365.0,27.322088724584102
2019,suss,2601.0,886.0,34.0638216070742
2019,sutd,1730.0,415.0,23.98843930635838
2019,temasek_polytechnic,14142.0,4536.0,32.07467119219346
2020,ite,27825.0,14661.0,52.690026954177895
2020,lasalle_degree,1168.0,435.0,37.24315068493151
2020,lasalle_diploma,1231.0,415.0,33.712428919577576
2020,nafa_degree,46.0,17.0,36.95652173913044
2020,nafa_diploma,2312.0,789.0,34.12629757785467
2020,nanyang_polytechnic,13968.0,4329.0,30.992268041237114
2020,ngee_ann_polytechnic,13637.0,4201.0,30.805895724866172
2020,nie,1206.0,530.0,43.946932006633496
2020,ntu,23758.0,6693.0,28.171563262900918
2020,nus,30420.0,7486.0,24.60880999342538
2020,republic_polytechnic,12225.0,3940.0,32.22903885480573
2020,singapore_polytechnic,13568.0,4270.0,31.47110849056604
2020,sit,8201.0,2894.0,35.28837946591879
2020,smu,9144.0,2429.0,26.563867016622922
2020,suss,3153.0,999.0,31.684110371075167
2020,sutd,1406.0,475.0,33.78378378378378
2020,temasek_polytechnic,13535.0,4274.0,31.577391946804582
2021,ite,27862.0,14738.0,52.896418060440745
2021,lasalle_degree,1166.0,449.0,38.507718696397944
2021,lasalle_diploma,1205.0,413.0,34.273858921161825
2021,nafa_degree,236.0,218.0,92.37288135593221
2021,nafa_diploma,2117.0,686.0,32.40434577231932
2021,nanyang_polytechnic,13268.0,4223.0,31.828459451311424
2021,ngee_ann_polytechnic,12996.0,4088.0,31.455832563865805
2021,nie,1154.0,467.0,40.46793760831889
2021,ntu,24074.0,6483.0,26.92946747528454
2021,nus,31191.0,7881.0,25.26690391459075
2021,republic_polytechnic,11668.0,3861.0,33.090503942406585
2021,singapore_polytechnic,12880.0,4104.0,31.86335403726708
2021,sit,9015.0,2952.0,32.74542429284526
2021,smu,9580.0,2436.0,25.427974947807932
2021,suss,3656.0,1087.0,29.73194748358862
2021,sutd,1429.0,468.0,32.750174947515745
2021,temasek_polytechnic,12984.0,4210.0,32.4245224892175
2022,ite,27570.0,14577.0,52.87268770402611
2022,lasalle_degree,1140.0,406.0,35.6140350877193
2022,lasalle_diploma,1200.0,410.0,34.166666666666664
2022,nafa_degree,433.0,223.0,51.50115473441109
2022,nafa_diploma,2049.0,711.0,34.69985358711567
2022,nanyang_polytechnic,12815.0,4121.0,32.15762777994538
2022,ngee_ann_polytechnic,12500.0,4067.0,32.536
2022,nie,1319.0,527.0,39.95451099317665
2022,ntu,23876.0,6184.0,25.90048584352488
2022,nus,30842.0,7273.0,23.581479800272355
2022,republic_polytechnic,11704.0,3914.0,33.44155844155844
2022,singapore_polytechnic,12391.0,4181.0,33.742232265353884
2022,sit,9688.0,3121.0,32.21511147811726
2022,smu,9883.0,2380.0,24.081756551654355
2022,suss,3910.0,986.0,25.217391304347824
2022,sutd,1409.0,405.0,28.743789921930446
2022,temasek_polytechnic,12481.0,4178.0,33.47488182036696
2023,ite,27274.0,14405.0,52.815868592799
2023,lasalle_degree,1197.0,467.0,39.01420217209691
2023,lasalle_diploma,1177.0,415.0,35.25913338997451
2023,nafa_degree,514.0,237.0,46.10894941634241
2023,nafa_diploma,2108.0,800.0,37.95066413662239
2023,nanyang_polytechnic,12758.0,4241.0,33.241887443172914
2023,ngee_ann_polytechnic,12397.0,4229.0,34.113091877067035
2023,nie,1394.0,1204.0,86.37015781922526
2023,ntu,24117.0,6448.0,26.73632707218974
2023,nus,30467.0,7470.0,24.518331309285458
2023,republic_polytechnic,11587.0,3902.0,33.675671010615346
2023,singapore_polytechnic,12590.0,4385.0,34.82922954725973
2023,sit,10380.0,3328.0,32.0616570327553
2023,smu,10129.0,2572.0,25.392437555533615
2023,suss,3998.0,1011.0,25.287643821910955
2023,sutd,1915.0,541.0,28.25065274151436
2023,temasek_polytechnic,12462.0,4272.0,34.28021184400578
